"","Season","SexRepro","AgeClass","SampleTimeHour","Strongyles","Coccidia","Capillaria","Nematodirus","TrichurisBin","StrongylesBin","CoccidiaBin","CapillariaBin","NematodirusBin","StrongyloidesBin","MonieziaBin","Id","Sex","Age","logStrongyles","logNematodirus","logCapillaria","logCoccidia","SampleTimeScale","AgeScale","obs"
"303","Spring19","FemaleNoLamb","Adult",10,6,249,0,0,0,1,1,0,0,0,0,"7593","Female",9,1.94591014905531,0,0,5.52146091786225,-0.9441648832748,1.62947023042814,"303"
"304","Spring19","FemaleLamb","Adult",10,141,234,0,0,0,1,1,0,0,0,0,"9212","Female",6,4.95582705760126,0,0,5.45958551414416,-0.9441648832748,0.685527413731884,"304"
"305","Spring19","FemaleLamb","Adult",9,195,162,0,0,0,1,1,0,0,1,1,"8258","Female",8,5.27811465923052,0,0,5.09375020080676,-1.37336991464938,1.31482262486272,"305"
"306","Spring19","Male","Adult",9,66,87,0,0,0,1,1,0,0,1,0,"10630","Male",3,4.20469261939097,0,0,4.47733681447821,-1.37336991464938,-0.258415402964369,"306"
"307","Spring19","Male","Adult",10,93,69,0,0,0,1,1,0,0,1,0,"9166","Male",6,4.54329478227,0,0,4.24849524204936,-0.9441648832748,0.685527413731884,"307"
"308","Spring19","Male","Adult",10,258,279,0,0,0,1,1,0,0,0,0,"9110","Male",6,5.55682806169954,0,0,5.63478960316925,-0.9441648832748,0.685527413731884,"308"
"309","Spring19","Male","Adult",10,69,1035,0,0,0,1,1,0,0,0,0,"9866","Male",5,4.24849524204936,0,0,6.94312242281943,-0.9441648832748,0.370879808166466,"309"
"310","Spring19","FemaleLamb","Adult",10,33,111,0,0,0,1,1,0,0,1,1,"9805","Female",5,3.52636052461616,0,0,4.71849887129509,-0.9441648832748,0.370879808166466,"310"
"311","Spring19","FemaleLamb","Adult",10,276,1032,0,2,0,1,1,0,1,1,1,"11191","Female",2,5.62401750618734,1.09861228866811,0,6.94022246911964,-0.9441648832748,-0.573063008529787,"311"
"312","Spring19","FemaleLamb","Adult",9,87,12,0,0,0,1,1,0,0,1,0,"8258","Female",8,4.47733681447821,0,0,2.56494935746154,-1.37336991464938,1.31482262486272,"312"
"313","Spring19","FemaleLamb","Adult",9,69,213,0,0,0,1,1,0,0,1,0,"10527","Female",3,4.24849524204936,0,0,5.36597601502185,-1.37336991464938,-0.258415402964369,"313"
"314","Spring19","FemaleLamb","Adult",9,60,309,0,0,0,1,1,0,0,0,0,"10296","Female",4,4.11087386417331,0,0,5.73657229747919,-1.37336991464938,0.0562322026010486,"314"
"315","Spring19","Male","Adult",9,21,324,0,0,0,1,1,0,0,0,0,"10202","Male",4,3.09104245335832,0,0,5.78382518232974,-1.37336991464938,0.0562322026010486,"315"
"316","Spring19","FemaleLamb","Adult",9,36,123,0,0,0,1,1,0,0,0,0,"9257","Female",6,3.61091791264422,0,0,4.82028156560504,-1.37336991464938,0.685527413731884,"316"
"317","Spring19","FemaleLamb","Adult",9,84,132,0,1,0,1,1,0,1,1,0,"11222","Female",2,4.44265125649032,0.693147180559945,0,4.89034912822175,-1.37336991464938,-0.573063008529787,"317"
"318","Spring19","FemaleLamb","Adult",10,39,30,0,0,0,1,1,0,0,0,0,"9023","Female",6,3.68887945411394,0,0,3.43398720448515,-0.9441648832748,0.685527413731884,"318"
"319","Spring19","FemaleLamb","Adult",14,21,96,0,0,0,1,1,0,0,0,0,"10575","Female",3,3.09104245335832,0,0,4.57471097850338,0.772655242223513,-0.258415402964369,"319"
"320","Spring19","FemaleLamb","Adult",15,138,525,0,36,0,1,1,0,1,1,1,"9207","Female",6,4.93447393313069,3.61091791264422,0,6.26530121273771,1.20186027359809,0.685527413731884,"320"
"321","Spring19","FemaleLamb","Adult",15,32,15,0,0,0,1,1,0,0,0,0,"7542","Female",9,3.49650756146648,0,0,2.77258872223978,1.20186027359809,1.62947023042814,"321"
"322","Spring19","FemaleLamb","Adult",15,21,171,0,0,0,1,1,0,0,0,0,"10567","Female",3,3.09104245335832,0,0,5.14749447681345,1.20186027359809,-0.258415402964369,"322"
"323","Spring19","FemaleLamb","Adult",9,27,102,0,0,0,1,1,0,0,1,0,"10549","Female",3,3.3322045101752,0,0,4.63472898822964,-1.37336991464938,-0.258415402964369,"323"
"324","Summer19","FemaleLamb","Adult",11,18,21,0,0,0,1,1,0,0,0,0,"8720","Female",7,2.94443897916644,0,0,3.09104245335832,-0.514959851900222,1.0001750192973,"324"
"325","Summer19","FemaleLamb","Adult",12,36,114,0,0,0,1,1,0,0,0,0,"8721","Female",7,3.61091791264422,0,0,4.74493212836325,-0.0857548205256438,1.0001750192973,"325"
"326","Summer19","Male","Adult",12,42,90,0,0,0,1,1,0,0,0,0,"8508","Male",8,3.76120011569356,0,0,4.51085950651685,-0.0857548205256438,1.31482262486272,"326"
"327","Summer19","Male","Adult",12,27,27,0,0,0,1,1,0,0,0,1,"9012","Male",6,3.3322045101752,0,0,3.3322045101752,-0.0857548205256438,0.685527413731884,"327"
"328","Summer19","FemaleLamb","Adult",10,48,102,0,0,0,1,1,0,0,0,0,"10628","Female",3,3.89182029811063,0,0,4.63472898822964,-0.9441648832748,-0.258415402964369,"328"
